&nbsp;,Time,Freq.,RSSI,SNR,TxPwr,CRC,mod.,CR,DataRate,FCnt,AirTime,DevAddr,FPort,Payload Size,MAC Command
Unconfirmed Data Up,17:32:16,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,8002,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 5A F3 5F B5 E9 4B 47 3A 8A 25 D2 1E 68 8B C5 81 </span>
Unconfirmed Data Up,17:32:06,867.1,-50,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,8001,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 35 FE D8 A2 60 EB EC 0C 51 89 14 6D D3 20 C2 B6 </span>
Unconfirmed Data Up,17:31:56,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,8000,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 68 C4 9B B0 9D 92 00 58 CD 7B E0 FE 00 E9 11 1B </span>
Unconfirmed Data Up,17:31:46,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7999,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 56 85 09 B2 72 D0 1C C1 1A 6D 58 26 8B 88 A8 24 </span>
Unconfirmed Data Up,17:31:36,867.1,-49,14,-,CRC_OK,LORA,'4/5',SF7BW125,7998,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 72 0B DD 21 7A 49 5D F5 F0 D0 4A AB C4 04 9B 19 </span>
Unconfirmed Data Up,17:31:26,867.1,-51,14,-,CRC_OK,LORA,'4/5',SF7BW125,7997,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 03 66 1E 98 31 6C 38 BB FB FE 23 BC E2 A0 23 BE </span>
Unconfirmed Data Up,17:31:16,867.1,-50,14.75,-,CRC_OK,LORA,'4/5',SF7BW125,7996,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 CB 19 9F 84 55 72 00 83 07 F8 E6 ED 2F 71 36 1D </span>
Unconfirmed Data Up,17:31:06,867.1,-50,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7995,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 73 5B 15 79 AC 7D 09 65 E7 7F 90 8D 8F F8 ED ED </span>
Unconfirmed Data Up,17:30:56,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7994,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 84 9F 80 F8 AD F1 B7 D8 51 C9 15 FF 4B 3C 47 8F </span>
Unconfirmed Data Up,17:30:46,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7993,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 CB 4C C0 68 25 19 36 8B E6 6F 1E 0B 5C DD 38 93 </span>
Unconfirmed Data Up,17:30:36,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7992,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 33 D8 52 6B 36 B3 25 C4 23 EA 7E 3E 68 CA AA 2A </span>
Unconfirmed Data Up,17:30:26,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7991,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 5D 8D 53 F4 77 53 94 07 B6 2C AD BA 21 24 75 E7 </span>
Unconfirmed Data Up,17:30:16,867.1,-51,14,-,CRC_OK,LORA,'4/5',SF7BW125,7990,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 9C E6 10 50 9F 6B 8C 7F F9 D9 ED 6E 5C 9C 6E E5 </span>
Unconfirmed Data Up,17:30:06,867.1,-50,14.75,-,CRC_OK,LORA,'4/5',SF7BW125,7989,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 E9 9B F9 96 AF 62 8D 93 A3 45 71 67 BE 64 DC 52 </span>
Unconfirmed Data Up,17:29:56,867.1,-51,14,-,CRC_OK,LORA,'4/5',SF7BW125,7988,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 CB 23 7E B8 22 D0 46 EC 62 ED 5F C0 D6 86 9A 11 </span>
Unconfirmed Data Up,17:29:46,867.1,-52,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7987,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 E9 42 E6 BD 12 7D 03 E3 4F 88 6A CA 48 59 00 B4 </span>
Unconfirmed Data Up,17:29:36,867.1,-49,14.75,-,CRC_OK,LORA,'4/5',SF7BW125,7986,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 6C 68 97 23 D8 EE 9E BF 20 93 E2 04 6F 82 79 7F </span>
Unconfirmed Data Up,17:29:26,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7985,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 03 24 6C 14 6B 18 B7 27 9A C1 74 01 CB C7 AA 93 </span>
Unconfirmed Data Up,17:29:16,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7984,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 60 08 33 3D 44 AF 86 27 C7 72 8D 48 3A D7 64 E8 </span>
Unconfirmed Data Up,17:29:06,867.1,-51,14,-,CRC_OK,LORA,'4/5',SF7BW125,7983,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 0A 34 1B 3D 66 F8 A4 29 B0 AD 02 06 21 D6 A5 D1 </span>
Unconfirmed Data Up,17:28:56,867.1,-49,14,-,CRC_OK,LORA,'4/5',SF7BW125,7982,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 27 E7 48 CC 19 89 77 EB 3B 8D F5 ED 74 E7 B1 B9 </span>
Unconfirmed Data Up,17:28:46,867.1,-50,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7981,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 B6 09 E0 79 87 D5 42 5C 14 B8 AE CC DE D0 50 A8 </span>
Unconfirmed Data Up,17:28:36,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7980,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 E4 20 8A 0A 84 6C 8E B1 53 5A 86 A9 D9 73 B1 29 </span>
Unconfirmed Data Up,17:28:26,867.1,-49,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7979,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 DB 00 FA B4 E5 64 AA C7 90 8C C2 1C E5 F7 46 A2 </span>
Unconfirmed Data Up,17:28:16,867.1,-51,14,-,CRC_OK,LORA,'4/5',SF7BW125,7978,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 EE 84 27 55 3F 6D AC A5 1E 15 6B A5 AD 16 E5 E8 </span>
Unconfirmed Data Up,17:28:06,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7977,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 AA 07 74 87 89 A6 C8 00 AC 42 A3 47 A4 FE 9D 8B </span>
Unconfirmed Data Up,17:27:56,867.1,-49,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7976,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 93 B1 8A F5 37 5A 85 47 72 A0 66 C0 9D 1F 42 A2 </span>
Unconfirmed Data Up,17:27:46,867.1,-50,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7975,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 74 E3 CC 46 78 68 4F E0 A2 6C 30 D1 27 03 FD F2 </span>
Unconfirmed Data Up,17:27:36,867.1,-49,13.5,-,CRC_OK,LORA,'4/5',SF7BW125,7974,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 49 45 3E E0 A4 18 6D 4B 9A 99 74 4D 00 D6 38 6E </span>
Unconfirmed Data Up,17:27:26,867.1,-49,14,-,CRC_OK,LORA,'4/5',SF7BW125,7973,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 05 1C DC C9 2A AC 10 0F 7C E8 DA 33 39 FC FE CA </span>
Unconfirmed Data Up,17:27:16,867.1,-49,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7972,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 6C 2C CE E9 EE BD 2C 57 AC C6 F9 27 32 2C 8D CB </span>
Unconfirmed Data Up,17:27:06,867.1,-49,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7971,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 0B 5C 58 D6 6E 4D 09 A1 08 13 03 E6 E5 7C A5 26 </span>
Unconfirmed Data Up,17:26:56,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7970,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 83 65 AA 67 1B 78 B7 63 75 AA 12 DC 60 E3 1A 2A </span>
Unconfirmed Data Up,17:26:46,867.1,-49,13.25,-,CRC_OK,LORA,'4/5',SF7BW125,7969,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 1B 53 54 6C C1 22 92 DE 41 03 E7 86 3E C6 6C DD </span>
Unconfirmed Data Up,17:26:36,867.1,-51,14,-,CRC_OK,LORA,'4/5',SF7BW125,7968,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 87 12 7B 11 5B C0 AB 72 86 BE FF 89 DD 5F B9 8D </span>
Unconfirmed Data Up,17:26:26,867.1,-50,14.25,-,CRC_OK,LORA,'4/5',SF7BW125,7967,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 D2 30 E8 19 E4 EE 93 64 C0 82 AC C7 4C 5D FF 90 </span>
Unconfirmed Data Up,17:26:16,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7966,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 AA 93 3B 73 F7 4B A1 C3 99 41 C2 D4 6F 31 C6 29 </span>
Unconfirmed Data Up,17:26:06,867.1,-52,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7965,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 0E 45 B7 E8 28 CD 4C 12 03 84 21 24 9B 99 4E 5A </span>
Unconfirmed Data Up,17:25:56,867.1,-49,13.75,-,CRC_OK,LORA,'4/5',SF7BW125,7964,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 2E 91 6F 3F 25 20 F6 7E 48 DA 3D 9A F6 52 DA 3B </span>
Unconfirmed Data Up,17:25:46,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7963,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 E7 C7 75 21 40 92 AB C2 13 84 C2 56 F2 01 C6 E5 </span>
Unconfirmed Data Up,17:25:36,867.1,-50,14,-,CRC_OK,LORA,'4/5',SF7BW125,7962,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 10 BC 0C 57 42 26 45 94 BB C8 FD 05 24 57 64 4C </span>
Unconfirmed Data Up,17:25:26,867.1,-49,14.5,-,CRC_OK,LORA,'4/5',SF7BW125,7961,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 C0 C9 99 81 B5 4F A8 A5 C6 94 EC 0E 02 8F 7A 57 </span>
Unconfirmed Data Up,17:25:16,867.1,-49,13.25,-,CRC_OK,LORA,'4/5',SF7BW125,7960,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 66 BA FE 77 D2 1C 29 68 96 D1 86 DE 03 B7 C8 08 </span>
Unconfirmed Data Up,17:25:06,867.1,-51,14,-,CRC_OK,LORA,'4/5',SF7BW125,7959,'67',00BDC9C4,3,17,,<span class="pkt_l_i">Payload</span><span>03 39 34 FF 56 59 91 D4 78 84 6E 60 3D 0A 4E EB 68 </span>
